epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,6292.06,0.82328,0.60432,1.11121,0.83995,0.76811,0.84202,0.68223,0.82135,0.58547,1.14684,0.0087724,0.0087724,0.0087724
126,6342.58,0.81682,0.60029,1.10909,0.85076,0.76539,0.84214,0.68091,0.81846,0.58009,1.14614,0.0087625,0.0087625,0.0087625
127,6393.09,0.8143,0.59824,1.10363,0.83316,0.77914,0.84446,0.68246,0.82191,0.57858,1.14996,0.0087526,0.0087526,0.0087526
128,6442.78,0.82527,0.59974,1.11148,0.82888,0.78036,0.83946,0.68039,0.82069,0.58345,1.14827,0.0087427,0.0087427,0.0087427
129,6492.97,0.81888,0.59507,1.10505,0.84843,0.75597,0.84255,0.68664,0.81596,0.58221,1.14566,0.0087328,0.0087328,0.0087328
130,6541.86,0.81568,0.59624,1.10593,0.83518,0.77634,0.84658,0.69154,0.8187,0.58711,1.14465,0.0087229,0.0087229,0.0087229
131,6591.77,0.81506,0.59157,1.10402,0.84397,0.76683,0.84977,0.69432,0.81894,0.57839,1.14677,0.008713,0.008713,0.008713
132,6641.82,0.81092,0.59489,1.10607,0.83298,0.78295,0.85227,0.69362,0.81546,0.5782,1.14426,0.0087031,0.0087031,0.0087031
133,6691.48,0.8158,0.60025,1.10756,0.85938,0.76768,0.85226,0.69221,0.81543,0.57565,1.14187,0.0086932,0.0086932,0.0086932
134,6741.94,0.803,0.58794,1.09959,0.83703,0.7854,0.85185,0.69706,0.81598,0.57625,1.14303,0.0086833,0.0086833,0.0086833
135,6791.78,0.81411,0.59339,1.10155,0.85692,0.75889,0.85122,0.6953,0.81734,0.57687,1.14276,0.0086734,0.0086734,0.0086734
136,6841.92,0.80758,0.58748,1.09649,0.81381,0.78591,0.85007,0.69151,0.81949,0.57832,1.14447,0.0086635,0.0086635,0.0086635
137,6891.24,0.80347,0.5863,1.09807,0.8112,0.79686,0.8526,0.69618,0.81708,0.57384,1.14406,0.0086536,0.0086536,0.0086536
138,6940.87,0.80724,0.57964,1.0991,0.85228,0.75991,0.85409,0.69589,0.81439,0.5747,1.14062,0.0086437,0.0086437,0.0086437
139,6991.33,0.80901,0.58491,1.09881,0.85847,0.75858,0.855,0.695,0.81652,0.57326,1.14336,0.0086338,0.0086338,0.0086338
140,7040.91,0.80241,0.57907,1.09638,0.85656,0.76422,0.85379,0.6959,0.81607,0.57171,1.14258,0.0086239,0.0086239,0.0086239
141,7090.96,0.80005,0.58322,1.09749,0.80828,0.79769,0.85215,0.69543,0.81609,0.57351,1.14405,0.008614,0.008614,0.008614
142,7140.35,0.79651,0.57556,1.09643,0.83731,0.76925,0.84807,0.69091,0.81518,0.57401,1.14377,0.0086041,0.0086041,0.0086041
143,7189.74,0.80689,0.58482,1.09983,0.86851,0.74135,0.84842,0.69371,0.8123,0.57613,1.14071,0.0085942,0.0085942,0.0085942
144,7240.15,0.80574,0.57927,1.09396,0.8601,0.75465,0.85123,0.69171,0.80994,0.57115,1.13736,0.0085843,0.0085843,0.0085843
145,7289.45,0.80229,0.58679,1.09588,0.83835,0.77335,0.85149,0.69151,0.81246,0.57013,1.13926,0.0085744,0.0085744,0.0085744
146,7339.84,0.8046,0.57849,1.09518,0.84418,0.76301,0.85457,0.69344,0.81289,0.56838,1.14182,0.0085645,0.0085645,0.0085645
147,7389.68,0.80188,0.58295,1.09416,0.84976,0.77533,0.85851,0.69784,0.81145,0.57098,1.14054,0.0085546,0.0085546,0.0085546
148,7439.47,0.79273,0.57295,1.0911,0.8481,0.75024,0.85151,0.6937,0.81264,0.57508,1.1411,0.0085447,0.0085447,0.0085447
149,7489.64,0.79667,0.57372,1.09109,0.84379,0.76527,0.852,0.69562,0.80968,0.56943,1.13887,0.0085348,0.0085348,0.0085348
150,7539.74,0.79807,0.57206,1.08828,0.83499,0.77247,0.85083,0.6938,0.80771,0.56982,1.13771,0.0085249,0.0085249,0.0085249
151,7589.59,0.79848,0.57343,1.08806,0.84549,0.7659,0.85172,0.69432,0.80845,0.57077,1.13852,0.008515,0.008515,0.008515
152,7639.81,0.79894,0.57964,1.09278,0.81554,0.79436,0.85687,0.69737,0.81038,0.56982,1.13983,0.0085051,0.0085051,0.0085051
153,7689.54,0.78769,0.56924,1.08665,0.84144,0.77872,0.85674,0.701,0.80781,0.56892,1.13714,0.0084952,0.0084952,0.0084952
154,7740.18,0.79467,0.57029,1.08415,0.82307,0.79961,0.85568,0.70395,0.8063,0.56818,1.13617,0.0084853,0.0084853,0.0084853
