epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,2753.1,1.08368,0.77712,0.89771,0.88303,0.76676,0.86149,0.59316,1.08518,0.66379,0.92623,0.0075646,0.0075646,0.0075646
125,2775.7,1.08456,0.76621,0.89342,0.89499,0.76474,0.87282,0.58296,1.1243,0.67518,0.93707,0.0075448,0.0075448,0.0075448
126,2797.4,1.09865,0.76946,0.90121,0.83688,0.77698,0.84862,0.57653,1.1274,0.68512,0.93991,0.007525,0.007525,0.007525
127,2819.26,1.07015,0.74451,0.89949,0.77469,0.82258,0.882,0.58448,1.15194,0.69432,0.94286,0.0075052,0.0075052,0.0075052
128,2840.86,1.09248,0.77624,0.89988,0.89281,0.76281,0.87125,0.5828,1.12413,0.66959,0.93766,0.0074854,0.0074854,0.0074854
129,2862,1.06695,0.74575,0.89551,0.93127,0.72953,0.87917,0.59289,1.11202,0.65417,0.93133,0.0074656,0.0074656,0.0074656
130,2883.84,1.06156,0.75677,0.88453,0.79861,0.79345,0.84934,0.57362,1.1183,0.69129,0.94053,0.0074458,0.0074458,0.0074458
131,2905.52,1.03555,0.70468,0.88881,0.89141,0.74989,0.86539,0.57957,1.12476,0.64657,0.93795,0.007426,0.007426,0.007426
132,2927.46,1.07234,0.73866,0.8911,0.85688,0.78861,0.86791,0.57759,1.1066,0.65724,0.93099,0.0074062,0.0074062,0.0074062
133,2949.1,1.06442,0.739,0.88593,0.84437,0.78979,0.85777,0.56217,1.14058,0.68264,0.93535,0.0073864,0.0073864,0.0073864
134,2970.5,1.02566,0.7202,0.88252,0.82025,0.83296,0.86412,0.57763,1.14823,0.68807,0.93698,0.0073666,0.0073666,0.0073666
135,2992.91,1.07066,0.73925,0.90488,0.85101,0.80678,0.87262,0.59322,1.09523,0.63593,0.93257,0.0073468,0.0073468,0.0073468
136,3014.43,1.03422,0.72067,0.89298,0.88761,0.75696,0.86129,0.58856,1.0943,0.66159,0.93658,0.007327,0.007327,0.007327
137,3035.83,1.02855,0.72654,0.8879,0.83296,0.80804,0.8542,0.57106,1.11797,0.66878,0.94315,0.0073072,0.0073072,0.0073072
138,3057.73,1.02697,0.71322,0.88952,0.85636,0.82436,0.87468,0.58108,1.08531,0.64504,0.93596,0.0072874,0.0072874,0.0072874
